TOKEN	WEIGHT
others	-0.013685088117618397
My	-0.013614602285338059
therefore	-0.013495803644888693
construction	-0.013482387162503728
colleague	-0.013479965728430597
To	-0.013465197254410855
officers	-0.013434711147153245
thought	-0.013418735067206736
follows	-0.013404550861320554
adopted	-0.013375166516874015
agreement	-0.01335656663849049
favor	-0.013308171230226732
rules	-0.013302306230423066
countries	-0.01327588422422713
fiscal	-0.013273105976255169
months	-0.013238810148573971
different	-0.013236360369127417
concerned	-0.013166256818099565
history	-0.01311159787719175
however	-0.013102810217639614
heard	-0.01310106720421476
Union	-0.013041272295313844
set	-0.013021332893144026
record	-0.012979186832823807
area	-0.012968766913126692
enough	-0.012954013543445896
Then	-0.012929823832316948
times	-0.012924778417078864
certainly	-0.012907666238262675
Americans	-0.01284816336515937
]	-0.012822529735721665
Court	-0.012765034090107737
meet	-0.01273421920102194
appropriations	-0.012734146818338296
water	-0.012711680988878812
reference	-0.012686958946916124
voted	-0.01267314081624619
myself	-0.012643070417331918
allow	-0.012630788142017093
off	-0.01253597642344874
deal	-0.012512933006208964
except	-0.012496084017432204
value	-0.012479768937725344
taxes	-0.012456817056499843
Under	-0.012433098094850098
force	-0.012406196303382607
required	-0.012398441390155246
total	-0.012383808555534372
development	-0.012360178805200803
increased	-0.012337050959593079
available	-0.012314601575585728
30	-0.01231342628271374
clear	-0.012311045705687319
production	-0.012297934540788867
lands	-0.012295546453909512
judgment	-0.012292452929867786
consider	-0.012288252524447794
Without	-0.012246443952570667
problems	-0.012218434065374739
look	-0.012186245556146565
benefit	-0.012181819359176112
defense	-0.012151882389184037
S.	-0.012151665013924874
At	-0.012124143966331649
rather	-0.012106956535043673
Pennsylvania	-0.012083643957251257
education	-0.012058827417839403
article	-0.012054564345230993
facts	-0.01204967482071338
community	-0.0120096531629328
farmers	-0.011981322303444722
school	-0.011969808484327892
Representatives	-0.01193568143852732
lie	-0.011899364143522762
Virginia	-0.011875944460447263
Yes	-0.011855758462046428
conditions	-0.011853213886121322
entitled	-0.011848786927910557
moment	-0.011844458364930305
sure	-0.011839764205776012
away	-0.011781647577322057
nations	-0.011770275848145759
fair	-0.011757736594846946
services	-0.011751606750490334
effort	-0.011747240590514959
security	-0.011704836993962991
needs	-0.011694403336549647
known	-0.011693687567885705
legislative	-0.011651701711150214
20	-0.011638902866140763
oil	-0.011610107743890282
unless	-0.011606922042072898
basis	-0.011591604120805878
economy	-0.011550442656062136
employees	-0.011487541510130006
recognized	-0.011481684044569408
extend	-0.01147801982304745
aid	-0.011463040262462408
cut	-0.011458998862682448
comes	-0.01145857631896719
five	-0.011444733373842697
feel	-0.0114416064931572
existing	-0.011439994470137205
title	-0.01141710961231913
Navy	-0.011412514367431832
Massachusetts	-0.011399871285628988
authorized	-0.011393955794328506
she	-0.011391909720444715
keep	-0.01138084895825415
market	-0.011355647926478038
Carolina	-0.011351024177432696
among	-0.011345500348020508
show	-0.011322725006958625
person	-0.01131214694290405
themselves	-0.011307417888563053
cents	-0.011299442250213343
entire	-0.011282485288281779
H.R	-0.011239698506069647
gentlemen	-0.011227633222242765
including	-0.011215203232216194
building	-0.011185117435419445
process	-0.011158642432148435
income	-0.011132184523908854
rates	-0.011102558620964266
tell	-0.011088397386882904
Why	-0.011085361936740992
real	-0.011068722588660013
almost	-0.011061908533030494
interests	-0.011053275441162079
receive	-0.011036773174405755
went	-0.01103252493709424
makes	-0.011027740375353923
whom	-0.011005021281234447
stand	-0.0109975583473409
6	-0.010965985483313349
decision	-0.010865404001169015
form	-0.010826370347077308
*	-0.010814986899702353
efforts	-0.010814976789264463
relief	-0.010800098324893339
treaty	-0.010779328075859084
charge	-0.010776091562626709
One	-0.010701929800318088
willing	-0.010658487397068303
passage	-0.010634650219415717
proceed	-0.010590018979574763
include	-0.01058283275650514
persons	-0.010572538740088977
Of	-0.010515618709616953
hearings	-0.010512898003938962
permit	-0.01048230502248863
trying	-0.010481801035162419
old	-0.010475615347153626
companies	-0.010472366391256704
May	-0.010470560213578728
four	-0.010463721305183004
perhaps	-0.010447456949557876
third	-0.010446942289044957
tariff	-0.01043694318106832
leave	-0.01041692962576024
mind	-0.010412000058202106
protection	-0.010365596125327947
morning	-0.010309642626039813
terms	-0.010305477639125156
areas	-0.010295109473496789
speak	-0.010286643612103056
family	-0.010281068121300956
company	-0.010279837419883477
working	-0.010268470709316071
All	-0.010255948694984732
West	-0.010237111032177754
mean	-0.01023031668243872
introduced	-0.01022156187663006
Democratic	-0.010215998666436991
whose	-0.010211142090202872
really	-0.010210031566960164
benefits	-0.010174879486063453
reading	-0.01016142769241812
addition	-0.010125485698995337
needed	-0.010095431711197062
election	-0.010085208351603878
together	-0.010082486622693171
left	-0.010081984817081122
himself	-0.010069907450289208
farm	-0.010069810173845967
